time,hr,rr,sv,hrv,ss,status,bbt0,bbt1,bbt2,time2
1581801841,0,0,0,0,229,0,0,0,0,1581801784
1581801842,0,0,0,0,239,0,0,0,0,1581801785
1581801843,0,0,0,0,253,1,0,0,0,1581801786
1581801844,0,0,0,0,251,1,0,0,0,1581801787
1581801845,0,0,0,0,215,0,0,0,0,1581801788
1581801846,0,0,0,0,230,0,0,0,0,1581801789
1581801847,0,0,0,0,228,0,0,0,0,1581801790
1581801848,0,0,0,0,262,1,0,0,0,1581801791
1581801849,0,0,0,0,259,1,0,0,0,1581801792
1581801850,0,0,0,0,247,1,0,0,0,1581801793
1581801851,0,0,0,0,236,0,0,0,0,1581801794
1581801852,0,0,0,0,243,0,0,0,0,1581801795
1581801853,0,0,0,0,245,1,0,0,0,1581801796
1581801854,0,0,0,0,235,0,0,0,0,1581801797
1581801855,0,0,0,0,238,0,0,0,0,1581801798
1581801856,0,0,0,0,199,0,0,0,0,1581801799
1581801857,0,0,0,0,243,0,0,0,0,1581801800
1581801858,0,0,0,0,225,0,0,0,0,1581801801
1581801859,0,0,0,0,251,1,0,0,0,1581801802
1581801860,0,0,0,0,258,1,0,0,0,1581801803
1581801861,0,0,0,0,271,1,0,0,0,1581801804
1581801862,0,0,0,0,237,0,0,0,0,1581801805
1581801863,0,0,0,0,237,0,0,0,0,1581801806
1581801864,0,0,0,0,237,0,0,0,0,1581801807
1581801865,0,0,0,0,237,0,0,0,0,1581801808
1581801866,0,0,0,0,238,0,0,0,0,1581801809
1581801867,0,0,0,0,219,0,0,0,0,1581801810
1581801868,0,0,0,0,225,0,0,0,0,1581801811
1581801869,0,0,0,0,232,0,0,0,0,1581801812
1581801870,0,0,0,0,229,0,0,0,0,1581801813
1581801871,0,0,0,0,233,0,0,0,0,1581801814
1581801872,0,0,0,0,225,0,0,0,0,1581801815
1581801873,0,0,0,0,230,0,0,0,0,1581801816
1581801874,0,0,0,0,229,0,0,0,0,1581801817
1581801875,0,0,0,0,250,1,0,0,0,1581801818
1581801876,0,0,0,0,249,1,0,0,0,1581801819
1581801877,0,0,0,0,222,0,0,0,0,1581801820
1581801878,0,0,0,0,243,0,0,0,0,1581801821
1581801879,0,0,0,0,217,0,0,0,0,1581801822
1581801880,0,0,0,0,240,0,0,0,0,1581801823
1581801881,0,0,0,0,237,0,0,0,0,1581801824
1581801882,0,0,0,0,258,1,0,0,0,1581801825
1581801883,0,0,0,0,253,1,0,0,0,1581801826
1581801884,0,0,0,0,244,0,0,0,0,1581801827
1581801885,0,0,0,0,233,0,0,0,0,1581801828
1581801886,0,0,0,0,220,0,0,0,0,1581801829
1581801887,0,0,0,0,243,0,0,0,0,1581801830
1581801888,0,0,0,0,253,1,0,0,0,1581801831
1581801889,0,0,0,0,243,0,0,0,0,1581801832
1581801890,0,0,0,0,254,1,0,0,0,1581801833
1581801891,0,0,0,0,258,1,0,0,0,1581801834
1581801892,0,0,0,0,252,1,0,0,0,1581801835
1581801893,0,0,0,0,232,0,0,0,0,1581801836
1581801894,0,0,0,0,228,0,0,0,0,1581801837
1581801895,0,0,0,0,211,0,0,0,0,1581801838
1581801896,0,0,0,0,228,0,0,0,0,1581801839
1581801897,0,0,0,0,221,0,0,0,0,1581801840
1581801898,0,0,0,0,241,0,0,0,0,1581801841
1581801899,0,0,0,0,252,1,0,0,0,1581801842
1581801900,0,0,0,0,264,1,0,0,0,1581801843
1581801901,0,0,0,0,254,1,0,0,0,1581801844
1581801902,0,0,0,0,254,1,0,0,0,1581801845
1581801903,0,0,0,0,252,1,0,0,0,1581801846
1581801904,0,0,0,0,237,0,0,0,0,1581801847
1581801905,0,0,0,0,277,1,0,0,0,1581801848
1581801906,0,0,0,0,276,1,0,0,0,1581801849
1581801907,0,0,0,0,257,1,0,0,0,1581801850
1581801908,0,0,0,0,244,0,0,0,0,1581801851
1581801909,0,0,0,0,229,0,0,0,0,1581801852
1581801910,0,0,0,0,243,0,0,0,0,1581801853
1581801911,0,0,0,0,245,1,0,0,0,1581801854
1581801912,0,0,0,0,209,0,0,0,0,1581801855
1581801913,0,0,0,0,245,1,0,0,0,1581801856
1581801914,0,0,0,0,256,1,0,0,0,1581801857
1581801915,0,0,0,0,230,0,0,0,0,1581801858
1581801916,0,0,0,0,235,0,0,0,0,1581801859
1581801917,0,0,0,0,234,0,0,0,0,1581801860
1581801918,0,0,0,0,237,0,0,0,0,1581801861
1581801919,0,0,0,0,231,0,0,0,0,1581801862
1581801920,0,0,0,0,234,0,0,0,0,1581801863
1581801921,0,0,0,0,238,0,0,0,0,1581801864
1581801922,0,0,0,0,228,0,0,0,0,1581801865
1581801923,0,0,0,0,240,0,0,0,0,1581801866
1581801924,0,0,0,0,239,0,0,0,0,1581801867
1581801925,0,0,0,0,462,1,0,0,0,1581801868
1581801926,85,7,79,99,2257,1,124156939,0,0,1581801869
1581801927,85,7,79,99,950,1,124156939,0,0,1581801870
1581801928,85,7,79,99,414,1,124156939,0,0,1581801871
1581801929,85,7,79,99,292,1,124156939,0,0,1581801872
1581801930,85,7,79,99,267,1,124156939,0,0,1581801873
1581801931,0,0,0,0,671,1,0,0,0,1581801874
1581801932,0,0,0,0,347,1,0,0,0,1581801875
1581801933,0,0,0,0,259,1,0,0,0,1581801876
1581801934,0,0,0,0,263,1,0,0,0,1581801877
1581801935,0,0,0,0,254,1,0,0,0,1581801878
1581801936,0,0,0,0,229,0,0,0,0,1581801879
1581801937,0,0,0,0,246,1,0,0,0,1581801880
1581801938,0,0,0,0,247,1,0,0,0,1581801881
1581801939,0,0,0,0,247,1,0,0,0,1581801882
1581801940,0,0,0,0,257,1,0,0,0,1581801883
1581801941,0,0,0,0,255,1,0,0,0,1581801884
